origin,dev,value
2019,1,27190
2018,2,24810
2017,3,22320
2016,4,20930
2015,5,21920
2014,6,21130
2013,7,20590
2012,8,19950
2011,9,18450
2010,10,17210
2019,1,9990
2018,2,93450
2017,3,87190
2016,4,82860
2015,5,79870
2014,6,78090
2013,7,73780
2012,8,69230
2011,9,65940
2010,10,61770
2019,1,49710
2018,2,44070
2017,3,41500
2016,4,39880
2015,5,38530
2014,6,39520
2013,7,40580
2012,8,38320
2011,9,34050
2010,10,3050
2019,1,92080
2018,2,86610
2017,3,83280
2016,4,80340
2015,5,78380
2014,6,76050
2013,7,70160
2012,8,62150
2011,9,54040
2010,10,47200
2019,1,10700
2018,2,10100
2017,3,10600
2016,4,10900
2015,5,11200
2014,6,11300
2013,7,12400
2012,8,12100
2011,9,12400
2010,10,12100
2019,1,24600
2018,2,30900
2017,3,35000
2016,4,37800
2015,5,38500
2014,6,37400
2013,7,35300
2012,8,31900
2011,9,30000
2010,10,26400
2019,1,62400
2018,2,58200
2017,3,58600
2016,4,53000
2015,5,51200
2014,6,50400
2013,7,496000
2012,8,498000
2011,9,49900
2010,10,48400
2019,1,128700
2018,2,121100
2017,3,11010
2016,4,91500
2015,5,89400
2014,6,78400
2013,7,73000
2012,8,72300
2011,9,59500
2010,10,52800
2019,1,102500
2018,2,99900
2017,3,10250
2016,4,10470
2015,5,11020
2014,6,11190
2013,7,11160
2012,8,10420
2011,9,10450
2010,10,92200
2019,1,11290
2018,2,11370
2017,3,91700
2016,4,94200
2015,5,92400
2014,6,85500
2013,7,77000
2012,8,69500
2011,9,68000
2010,10,74500
2019,1,69300
2018,2,75300
2017,3,78200
2016,4,84100
2015,5,10230
2014,6,11860
2013,7,10300
2012,8,96300
2011,9,82600
2010,10,91400
2019,1,35780
2018,2,37680
2017,3,41340
2016,4,37680
2015,5,35540
2014,6,34680
2013,7,32100
2012,8,29310
2011,9,27920
2010,10,25970
2019,1,17740
2018,2,16330
2017,3,15550
2016,4,15680
2015,5,16400
2014,6,16120
2013,7,16290
2012,8,14070
2011,9,12440
2010,10,12080
2019,1,21100
2018,2,18070
2017,3,16300
