origin, dev,value
2012,0,445000
2007,6,340000
2010,7,4.58E+14
2015,2,5.59E+14
2017,3,6.12E+14
2008,8,3.76E+14
2014,4,4.78E+14
2005,10,3.05E+14
2014,0,4.81E+14
2004,8,2.79E+14
2012,8,4.67E+14
2013,2,4.59E+14
2012,4,4.73E+14
2007,10,3.41E+14
2004,10,2.78E+14
2006,7,3.1E+14
2003,10,2.47E+14
2018,1,6.37E+14
2017,0,5.95E+14
2009,3,3.79E+14
2006,6,3.16E+14
2014,5,4.78E+14
2008,6,3.72E+14
2003,9,2.51E+14
2007,9,3.41E+14
2018,0,6.2E+14
2016,2,5.61E+14
2013,0,4.55E+14
2008,10,3.73E+14
2014,1,4.76E+14
2008,9,3.72E+14
2011,3,4.36E+14
2019,1,6.94E+14
2013,3,4.58E+14
2006,10,3.12E+14
2007,8,3.41E+14
2013,6,4.56E+14
2010,6,4.6E+14
2012,7,4.66E+14
2015,4,5.58E+14
2015,0,5.5E+14
2010,5,4.6E+14
2005,8,3.03E+14
2010,9,4.62E+14
2011,2,4.34E+14
2011,4,4.34E+14
2011,8,4.31E+14
2009,10,3.78E+14
2019,0,6.54E+14
2009,9,3.81E+14
2013,7,4.6E+14
2016,0,5.51E+14
2009,6,3.78E+14
2013,4,4.56E+14
2014,3,4.79E+14
2009,5,3.76E+14
2008,7,3.73E+14
2005,7,3.09E+14
2013,5,4.59E+14
2011,5,4.38E+14
2011,7,4.35E+14
2010,8,4.61E+14
2006,9,3.14E+14
2014,2,4.79E+14
2016,1,5.66E+14
2016,4,5.67E+14
2014,6,4.81E+14
2004,9,2.79E+14
2011,6,4.35E+14
2010,10,4.6E+14
2015,3,5.57E+14
2020,0,6.3E+14
2010,3,4.61E+14
2010,2,4.64E+14
2009,7,3.75E+14
2012,1,4.7E+14
2008,5,3.72E+14
2008,4,3.74E+14
2007,5,3.46E+14
2012,2,4.73E+14
2009,4,3.76E+14
2010,4,4.61E+14
null,11,1.1E+12
2012,3,4.69E+14
2012,5,4.7E+14
2013,1,4.59E+14
2002,10,2.5E+14
2017,2,6.11E+14
2015,1,5.55E+14
2007,7,3.42E+14
2006,8,3.11E+14
2011,1,4.32E+14
2015,5,5.56E+14
2018,2,6.37E+14
2012,6,4.71E+14
2017,1,6.13E+14
2011,9,4.35E+14
2016,3,5.62E+14
2005,9,3.05E+14
2009,8,3.77E+14
